Time (s)	Corrected time (s)	WE(1).Potential (V)	WE(1).Current (A)
839.050010881602	0	0.171905517578125	0.0024755859375
839.051510881599	0.00149999999621286	0.1719970703125	0.00247406005859375
839.053010881595	0.00299999999242573	0.17218017578125	0.00247772216796875
839.054510881591	0.00449999998863859	0.172210693359375	0.0024774169921875
839.056010881587	0.00599999998485146	0.172119140625	0.0024761962890625
839.057510881583	0.00749999998106432	0.172027587890625	0.0024725341796875
839.05901088158	0.00899999997727718	0.171783447265625	0.00247222900390625
839.060510881576	0.01049999997349	0.171630859375	0.00246856689453125
839.062010881572	0.0119999999697029	0.171783447265625	0.00246826171875
839.063510881568	0.0134999999659158	0.17169189453125	0.002470703125
839.065010881564	0.0149999999621286	0.171661376953125	0.00247100830078125
839.066510881561	0.0164999999583415	0.171539306640625	0.0024700927734375
839.068010881557	0.0179999999545544	0.171722412109375	0.0024664306640625
839.069510881553	0.0194999999507672	0.171783447265625	0.0024700927734375
839.071010881549	0.0209999999469801	0.172027587890625	0.0024761962890625
839.072510881546	0.022499999943193	0.17218017578125	0.0024786376953125
839.074010881542	0.0239999999394058	0.17218017578125	0.0024786376953125
839.075510881538	0.0254999999356187	0.172149658203125	0.002479248046875
839.077010881534	0.0269999999318316	0.1719970703125	0.0024786376953125
839.07851088153	0.0284999999280444	0.172210693359375	0.00247589111328125
839.080010881527	0.0299999999242573	0.171966552734375	0.00247161865234375
839.081510881523	0.0314999999204701	0.171875	0.00247222900390625
839.083010881519	0.032999999916683	0.1717529296875	0.00247528076171875
839.084510881515	0.0344999999128959	0.172515869140625	0.002481689453125
839.086010881511	0.0359999999091087	0.1724853515625	0.00247833251953125
839.087510881508	0.0374999999053216	0.17254638671875	0.00248046875
839.089010881504	0.0389999999015345	0.17242431640625	0.00247772216796875
839.0905108815	0.0404999998977473	0.17193603515625	0.0024725341796875
839.092010881496	0.0419999998939602	0.172027587890625	0.0024749755859375
839.093510881493	0.0434999998901731	0.171844482421875	0.00247589111328125
839.095010881489	0.0449999998863859	0.17205810546875	0.002474365234375
839.096510881485	0.0464999998825988	0.171905517578125	0.00246826171875
839.098010881481	0.0479999998788116	0.171966552734375	0.00247467041015625
839.099510881477	0.0494999998750245	0.172119140625	0.002474365234375
839.101010881474	0.0509999998712374	0.172119140625	0.00247650146484375
839.10251088147	0.0524999998674502	0.172393798828125	0.0024822998046875
839.104010881466	0.0539999998636631	0.172515869140625	0.0024798583984375
839.105510881462	0.055499999859876	0.172515869140625	0.00247772216796875
839.107010881458	0.0569999998560888	0.17236328125	0.0024786376953125
839.108510881455	0.0584999998523017	0.17254638671875	0.00248382568359375
839.110010881451	0.0599999998485146	0.172393798828125	0.00247833251953125
839.111510881447	0.0614999998447274	-0.0028961181640625	-5.88989257812506E-05
839.113010881443	0.0629999998409403	-0.00285949707031249	-5.58471679687506E-05
839.11451088144	0.0644999998371532	-0.002838134765625	-5.79833984375E-05
839.116010881436	0.065999999833366	-0.0029266357421875	-5.92041015625003E-05
839.117510881432	0.0674999998295789	-0.00278625488281251	-5.43212890625006E-05
839.119010881428	0.0689999998257917	-0.00279846191406249	-6.866455078125E-05
839.120510881424	0.0704999998220046	-0.0034210205078125	-6.80541992187506E-05
839.122010881421	0.0719999998182175	-0.0037109375	-7.32421875E-05
839.123510881417	0.0734999998144303	-0.00394592285156251	-7.38525390624995E-05
839.125010881413	0.0749999998106432	-0.00374450683593749	-7.11059570312506E-05
839.126510881409	0.0764999998068561	-0.00385131835937499	-7.01904296875E-05
839.128010881405	0.0779999998030689	-0.00385437011718751	-7.32421875E-05
839.129510881402	0.0794999997992818	-0.00377807617187501	-7.41577148437506E-05
839.131010881398	0.0809999997954947	-0.00386962890625001	-7.53784179687495E-05
839.132510881394	0.0824999997917075	-0.00370178222656251	-6.89697265624997E-05
839.13401088139	0.0839999997879204	-0.00350036621093749	-6.256103515625E-05
839.135510881386	0.0854999997841333	-0.00347290039062501	-6.77490234374995E-05
839.137010881383	0.0869999997803461	-0.0032806396484375	-6.561279296875E-05
839.138510881379	0.088499999776559	-0.00322570800781249	-6.53076171875003E-05
839.140010881375	0.0899999997727718	-0.0032196044921875	-6.65283203125006E-05
839.141510881371	0.0914999997689847	-0.00336303710937499	-6.01196289062495E-05
839.143010881368	0.0929999997651976	-0.0032928466796875	-6.37817382812503E-05
839.144510881364	0.0944999997614104	-0.00335083007812501	-6.53076171875003E-05
839.14601088136	0.0959999997576233	-0.00344238281250001	-6.65283203125006E-05
839.147510881356	0.0974999997538362	-0.0033111572265625	-6.80541992187506E-05
839.149010881352	0.098999999750049	-0.00336303710937499	-6.65283203125006E-05
839.150510881349	0.100499999746262	-0.0033111572265625	-6.34765625000006E-05
839.152010881345	0.101999999742475	-0.0034332275390625	-6.83593750000003E-05
839.153510881341	0.103499999738688	-0.00360717773437499	-7.171630859375E-05
839.155010881337	0.1049999997349	-0.00385131835937499	-6.62231445312494E-05
839.156510881333	0.106499999731113	-0.00380554199218749	-7.35473632812497E-05
839.15801088133	0.107999999727326	-0.003741455078125	-7.29370117187503E-05
839.159510881326	0.109499999723539	-0.00400695800781251	-7.56835937500006E-05
839.161010881322	0.110999999719752	-0.003936767578125	-7.50732421874997E-05
839.162510881318	0.112499999715965	-0.00409851074218751	-7.50732421874997E-05
839.164010881315	0.113999999712178	-0.00361022949218751	-7.08007812499995E-05
839.165510881311	0.115499999708391	-0.0033416748046875	-6.04248046875006E-05
839.167010881307	0.116999999704603	-0.00319519042968749	-6.62231445312494E-05
839.168510881303	0.118499999700816	-0.0030975341796875	-6.19506835937506E-05
839.170010881299	0.119999999697029	-0.00302734374999999	-6.19506835937506E-05
839.171510881296	0.121499999693242	-0.0031768798828125	-6.01196289062495E-05
839.173010881292	0.122999999689455	-0.0029632568359375	-6.31713867187495E-05
839.174510881288	0.124499999685668	-0.003033447265625	-6.07299804687503E-05
839.176010881284	0.125999999681881	-0.0031005859375	-6.22558593750003E-05
839.17751088128	0.127499999678093	-0.00313415527343749	-5.67626953124997E-05
839.179010881277	0.128999999674306	-0.00295410156250001	-6.04248046875006E-05
839.180510881273	0.130499999670519	-0.0028564453125	-5.98144531249997E-05
839.182010881269	0.131999999666732	-0.00306396484375	-6.22558593750003E-05
839.183510881265	0.133499999662945	-0.002642822265625	-6.28662109374997E-05
839.185010881262	0.134999999659158	-0.003265380859375	-6.28662109374997E-05
839.186510881258	0.136499999655371	-0.00356140136718749	-6.59179687499997E-05
839.188010881254	0.137999999651583	-0.003521728515625	-6.7138671875E-05
839.18951088125	0.139499999647796	-0.00364990234375	-6.98852539062503E-05
839.191010881246	0.140999999644009	-0.0035888671875	-6.89697265624997E-05
839.192510881243	0.142499999640222	-0.003582763671875	-6.65283203125006E-05
839.194010881239	0.143999999636435	-0.0035400390625	-6.80541992187506E-05
839.195510881235	0.145499999632648	-0.00368652343750001	-6.16455078124994E-05
839.197010881231	0.146999999628861	-0.00318298339843751	-6.256103515625E-05
839.198510881227	0.148499999625074	-0.00340576171875	-6.77490234374995E-05
839.200010881224	0.149999999621286	-0.00353088378906249	-6.74438476562497E-05
839.20151088122	0.151499999617499	-0.00341186523437501	-6.83593750000003E-05
839.203010881216	0.152999999613712	-0.00347290039062501	-6.95800781250006E-05
839.204510881212	0.154499999609925	-0.0031005859375	-6.74438476562497E-05
839.206010881208	0.155999999606138	-0.0031585693359375	-6.34765625000006E-05
839.207510881205	0.157499999602351	-0.00330200195312499	-6.16455078124994E-05
839.209010881201	0.158999999598564	-0.00324401855468751	-6.22558593750003E-05
839.210510881197	0.160499999594776	-0.00311279296875	-6.256103515625E-05
839.212010881193	0.161999999590989	-0.00315246582031251	-6.256103515625E-05
839.21351088119	0.163499999587202	-0.002838134765625	-6.50024414062506E-05
839.215010881186	0.164999999583415	-0.002978515625	-5.98144531249997E-05
839.216510881182	0.166499999579628	-0.00330505371093751	-6.74438476562497E-05
839.218010881178	0.167999999575841	-0.0034759521484375	-6.80541992187506E-05
839.219510881174	0.169499999572054	-0.0036041259765625	-7.11059570312506E-05
839.221010881171	0.170999999568267	-0.0036163330078125	-7.11059570312506E-05
839.222510881167	0.172499999564479	-0.00364074707031251	-7.14111328125003E-05
839.224010881163	0.173999999560692	-0.0036163330078125	-6.92749023437494E-05
839.225510881159	0.175499999556905	-0.0037689208984375	-7.11059570312506E-05
839.227010881155	0.176999999553118	-0.00347900390625	-7.20214843749997E-05
839.228510881152	0.178499999549331	-0.0034149169921875	-6.92749023437494E-05
839.230010881148	0.179999999545544	-0.003448486328125	-6.561279296875E-05
839.231510881144	0.181499999541757	-0.0034210205078125	-5.950927734375E-05
839.23301088114	0.182999999537969	-0.00316162109375	-6.46972656249994E-05
839.234510881137	0.184499999534182	-0.0032501220703125	-6.28662109374997E-05
839.236010881133	0.185999999530395	-0.0030975341796875	-6.31713867187495E-05
839.237510881129	0.187499999526608	-0.003021240234375	-6.50024414062506E-05
839.239010881125	0.188999999522821	-0.0034210205078125	-6.68334960937503E-05
839.240510881121	0.190499999519034	-0.00339660644531251	-6.46972656249994E-05
839.242010881118	0.191999999515247	-0.00330505371093751	-6.561279296875E-05
839.243510881114	0.193499999511459	-0.00309143066406251	-5.70678710937494E-05
839.24501088111	0.194999999507672	-0.003094482421875	-6.50024414062506E-05
839.246510881106	0.196499999503885	-0.0032501220703125	-6.04248046875006E-05
839.248010881102	0.197999999500098	-0.00334777832031249	-6.62231445312494E-05
839.249510881099	0.199499999496311	-0.003497314453125	-6.98852539062503E-05
839.251010881095	0.200999999492524	-0.00364990234375	-7.20214843749997E-05
839.252510881091	0.202499999488737	-0.00367126464843751	-6.95800781250006E-05
839.254010881087	0.20399999948495	-0.00374755859375001	-6.59179687499997E-05
839.255510881084	0.205499999481162	-0.00377807617187501	-6.92749023437494E-05
839.25701088108	0.206999999477375	-0.00364990234375	-6.65283203125006E-05
839.258510881076	0.208499999473588	-0.004058837890625	-6.866455078125E-05
839.260010881072	0.209999999469801	-0.003436279296875	-6.68334960937503E-05
839.261510881068	0.211499999466014	-0.0032196044921875	-6.16455078124994E-05
839.263010881065	0.212999999462227	-0.003082275390625	-6.34765625000006E-05
839.264510881061	0.21449999945844	-0.0030242919921875	-6.31713867187495E-05
839.266010881057	0.215999999454652	-0.00313720703125001	-6.37817382812503E-05
839.267510881053	0.217499999450865	-0.0029449462890625	-6.16455078124994E-05
839.269010881049	0.218999999447078	-0.0031402587890625	-6.28662109374997E-05
839.270510881046	0.220499999443291	-0.00321350097656251	-6.34765625000006E-05
839.272010881042	0.221999999439504	-0.00316772460937501	-5.85937499999994E-05
839.273510881038	0.223499999435717	-0.00325622558593749	-6.40869140625E-05
839.275010881034	0.22499999943193	-0.0031158447265625	-6.16455078124994E-05
839.276510881031	0.226499999428142	-0.00303955078125	-6.50024414062506E-05
839.278010881027	0.227999999424355	-0.00323486328125	-6.19506835937506E-05
839.279510881023	0.229499999420568	-0.00348510742187499	-6.89697265624997E-05
839.281010881019	0.230999999416781	-0.0034912109375	-7.08007812499995E-05
839.282510881015	0.232499999412994	-0.0038604736328125	-6.98852539062503E-05
839.284010881012	0.233999999409207	-0.00360717773437499	-6.95800781250006E-05
839.285510881008	0.23549999940542	-0.0034942626953125	-6.92749023437494E-05
839.287010881004	0.236999999401633	-0.00359191894531249	-7.23266601562494E-05
839.288510881	0.238499999397845	-0.0037353515625	-7.23266601562494E-05
839.290010880996	0.239999999394058	-0.003765869140625	-7.23266601562494E-05
839.291510880993	0.241499999390271	-0.003143310546875	-6.95800781250006E-05
839.293010880989	0.242999999386484	-0.003204345703125	-6.46972656249994E-05
839.294510880985	0.244499999382697	-0.0031005859375	-6.04248046875006E-05
839.296010880981	0.24599999937891	-0.0031280517578125	-6.40869140625E-05
839.297510880977	0.247499999375123	-0.003204345703125	-6.28662109374997E-05
839.299010880974	0.248999999371335	-0.00296936035156251	-6.34765625000006E-05
839.30051088097	0.250499999367548	-0.00295104980468749	-6.04248046875006E-05
839.302010880966	0.251999999363761	-0.003125	-6.256103515625E-05
839.303510880962	0.253499999359974	-0.0027587890625	-6.46972656249994E-05
839.305010880959	0.254999999356187	-0.003082275390625	-6.28662109374997E-05
839.306510880955	0.2564999993524	-0.003204345703125	-6.16455078124994E-05
839.308010880951	0.257999999348613	-0.0030670166015625	-6.46972656249994E-05
839.309510880947	0.259499999344825	-0.00330200195312499	-6.22558593750003E-05
839.311010880943	0.260999999341038	-0.00321044921874999	-6.256103515625E-05
839.31251088094	0.262499999337251	-0.003460693359375	-7.01904296875E-05
839.314010880936	0.263999999333464	-0.003704833984375	-7.08007812499995E-05
839.315510880932	0.265499999329677	-0.003570556640625	-7.04956054687497E-05
839.317010880928	0.26699999932589	-0.0036041259765625	-6.68334960937503E-05
839.318510880924	0.268499999322103	-0.0037384033203125	-7.04956054687497E-05
839.320010880921	0.269999999318316	-0.00396728515625	-7.44628906250003E-05
839.321510880917	0.271499999314528	-0.0038482666015625	-7.72094726562506E-05
839.323010880913	0.272999999310741	-0.0034637451171875	-6.77490234374995E-05
839.324510880909	0.274499999306954	-0.003375244140625	-6.59179687499997E-05
839.326010880906	0.275999999303167	-0.00347900390625	-6.7138671875E-05
839.327510880902	0.27749999929938	-0.0031585693359375	-6.7138671875E-05
839.329010880898	0.278999999295593	-0.00327453613281251	-6.31713867187495E-05
839.330510880894	0.280499999291806	-0.00328369140625	-6.68334960937503E-05
839.33201088089	0.281999999288018	-0.00330810546875	-6.561279296875E-05
839.333510880887	0.283499999284231	-0.0035369873046875	-6.256103515625E-05
839.335010880883	0.284999999280444	-0.0032806396484375	-6.62231445312494E-05
839.336510880879	0.286499999276657	-0.003314208984375	-6.866455078125E-05
839.338010880875	0.28799999927287	-0.0032012939453125	-6.68334960937503E-05
839.339510880871	0.289499999269083	-0.00324096679687499	-6.53076171875003E-05
839.341010880868	0.290999999265296	-0.0031707763671875	-6.22558593750003E-05
839.342510880864	0.292499999261508	-0.00316772460937501	-6.34765625000006E-05
839.34401088086	0.293999999257721	-0.003521728515625	-7.26318359375006E-05
839.345510880856	0.295499999253934	-0.00377197265625	-7.35473632812497E-05
839.347010880853	0.296999999250147	-0.00374755859375001	-7.26318359375006E-05
839.348510880849	0.29849999924636	-0.00375976562499999	-7.38525390624995E-05
839.350010880845	0.299999999242573	-0.00390625	-7.32421875E-05
839.351510880841	0.301499999238786	-0.00389709472656249	-7.14111328125003E-05
839.353010880837	0.302999999234999	-0.00389404296875	-7.59887695312503E-05
839.354510880834	0.304499999231211	-0.0036895751953125	-6.92749023437494E-05
839.35601088083	0.305999999227424	-0.00364990234375	-6.53076171875003E-05
839.357510880826	0.307499999223637	-0.0034454345703125	-6.74438476562497E-05
839.359010880822	0.30899999921985	-0.0033905029296875	-6.7138671875E-05
839.360510880818	0.310499999216063	-0.00338134765625001	-6.62231445312494E-05
839.362010880815	0.311999999212276	-0.002960205078125	-6.04248046875006E-05
839.363510880811	0.313499999208489	-0.0029876708984375	-6.01196289062495E-05
839.365010880807	0.314999999204701	-0.0030059814453125	-6.07299804687503E-05
839.366510880803	0.316499999200914	-0.0028839111328125	-5.46264648437503E-05
839.368010880799	0.317999999197127	-0.0030792236328125	-6.04248046875006E-05
839.369510880796	0.31949999919334	-0.00295410156250001	-6.19506835937506E-05
839.371010880792	0.320999999189553	-0.0030670166015625	-5.73730468750006E-05
839.372510880788	0.322499999185766	-0.003070068359375	-6.19506835937506E-05
839.374010880784	0.323999999181979	-0.0030670166015625	-6.19506835937506E-05
839.375510880781	0.325499999178192	-0.003369140625	-6.50024414062506E-05
839.377010880777	0.326999999174404	-0.00352783203125	-6.59179687499997E-05
839.378510880773	0.328499999170617	-0.00359497070312501	-6.83593750000003E-05
839.380010880769	0.32999999916683	-0.0035247802734375	-6.83593750000003E-05
839.381510880765	0.331499999163043	-0.0034912109375	-6.561279296875E-05
839.383010880762	0.332999999159256	-0.0034027099609375	-6.46972656249994E-05
839.384510880758	0.334499999155469	-0.0034515380859375	-7.08007812499995E-05
839.386010880754	0.335999999151682	-0.003369140625	-6.83593750000003E-05
839.38751088075	0.337499999147894	-0.0033111572265625	-6.34765625000006E-05
839.389010880746	0.338999999144107	-0.003021240234375	-6.28662109374997E-05
839.390510880743	0.34049999914032	-0.00311279296875	-6.22558593750003E-05
839.392010880739	0.341999999136533	-0.00316467285156249	-5.98144531249997E-05
839.393510880735	0.343499999132746	-0.00298156738281249	-6.43920898437497E-05
839.395010880731	0.344999999128959	-0.00293884277343751	-6.01196289062495E-05
839.396510880728	0.346499999125172	-0.0030059814453125	-6.98852539062503E-05
839.398010880724	0.347999999121384	-0.00345764160156251	-6.7138671875E-05
839.39951088072	0.349499999117597	-0.003326416015625	-6.50024414062506E-05
839.401010880716	0.35099999911381	-0.00318298339843751	-6.19506835937506E-05
839.402510880712	0.352499999110023	-0.00285949707031249	-5.92041015625003E-05
839.404010880709	0.353999999106236	-0.00304565429687501	-5.79833984375E-05
839.405510880705	0.355499999102449	-0.0027435302734375	-5.950927734375E-05
839.407010880701	0.356999999098662	-0.00322875976562501	-6.866455078125E-05
