Time (s)	Corrected time (s)	WE(1).Potential (V)	WE(1).Current (A)
1862.67797529719	0	-0.95947265625	-0.0010321044921875
1862.67947529719	0.00149999999621286	-0.95947265625	-0.00103179931640625
1862.68097529718	0.00299999999242573	-0.95977783203125	-0.00103485107421875
1862.68247529718	0.00449999998863859	-0.95947265625	-0.00103179931640625
1862.68397529718	0.00599999998485146	-0.95947265625	-0.00103057861328125
1862.68547529717	0.00749999998106432	-0.95947265625	-0.001029052734375
1862.68697529717	0.00899999997727718	-0.95977783203125	-0.00102203369140625
1862.68847529716	0.01049999997349	-0.95947265625	-0.0010235595703125
1862.68997529716	0.0119999999697029	-0.95977783203125	-0.00102203369140625
1862.69147529716	0.0134999999659158	-0.95977783203125	-0.00102447509765625
1862.69297529715	0.0149999999621286	-0.95947265625	-0.00102508544921875
1862.69447529715	0.0164999999583415	-0.95947265625	-0.0010260009765625
1862.69597529714	0.0179999999545544	-0.95947265625	-0.00102691650390625
1862.69747529714	0.0194999999507672	-0.95977783203125	-0.0010247802734375
1862.69897529714	0.0209999999469801	-0.95947265625	-0.00102447509765625
1862.70047529713	0.022499999943193	-0.95977783203125	-0.00102447509765625
1862.70197529713	0.0239999999394058	-0.96038818359375	-0.0010260009765625
1862.70347529713	0.0254999999356187	-0.9600830078125	-0.00102203369140625
1862.70497529712	0.0269999999318316	-0.96038818359375	-0.0010272216796875
1862.70647529712	0.0284999999280444	-0.96038818359375	-0.00101776123046875
1862.70797529711	0.0299999999242573	-0.96038818359375	-0.00102203369140625
1862.70947529711	0.0314999999204701	-0.96038818359375	-0.00102569580078125
1862.71097529711	0.032999999916683	-0.96038818359375	-0.00102447509765625
1862.7124752971	0.0344999999128959	-0.96038818359375	-0.00102142333984375
1862.7139752971	0.0359999999091087	-0.9600830078125	-0.00102325439453125
1862.7154752971	0.0374999999053216	-0.9600830078125	-0.00102020263671875
1862.71697529709	0.0389999999015345	-0.9600830078125	-0.00102447509765625
1862.71847529709	0.0404999998977473	-0.9600830078125	-0.0010186767578125
1862.71997529708	0.0419999998939602	-0.96038818359375	-0.001021728515625
1862.72147529708	0.0434999998901731	-0.9600830078125	-0.001019287109375
1862.72297529708	0.0449999998863859	-0.9600830078125	-0.00101470947265625
1862.72447529707	0.0464999998825988	-0.9600830078125	-0.00101837158203125
1862.72597529707	0.0479999998788116	-0.9600830078125	-0.00101837158203125
1862.72747529707	0.0494999998750245	-0.9600830078125	-0.0010174560546875
1862.72897529706	0.0509999998712374	-0.9600830078125	-0.00101531982421875
1862.73047529706	0.0524999998674502	-0.96038818359375	-0.00101898193359375
1862.73197529705	0.0539999998636631	-0.96038818359375	-0.001015625
1862.73347529705	0.055499999859876	-0.96038818359375	-0.001016845703125
1862.73497529705	0.0569999998560888	-0.9600830078125	-0.0010125732421875
1862.73647529704	0.0584999998523017	-0.96038818359375	-0.001015625
1862.73797529704	0.0599999998485146	-0.9600830078125	-0.0010150146484375
1862.73947529703	0.0614999998447274	-0.9600830078125	-0.00101165771484375
1862.74097529703	0.0629999998409403	-0.9600830078125	-0.00101593017578125
1862.74247529703	0.0644999998371532	-0.96038818359375	-0.0010125732421875
1862.74397529702	0.065999999833366	-0.960693359375	-0.0010107421875
1862.74547529702	0.0674999998295789	-0.96038818359375	-0.0010107421875
1862.74697529702	0.0689999998257917	-0.95977783203125	-0.0010089111328125
1862.74847529701	0.0704999998220046	-0.9600830078125	-0.00101226806640625
1862.74997529701	0.0719999998182175	-0.9600830078125	-0.00101318359375
1862.751475297	0.0734999998144303	-0.9600830078125	-0.001014404296875
1862.752975297	0.0749999998106432	-0.9600830078125	-0.00101043701171875
1862.754475297	0.0764999998068561	-0.9600830078125	-0.001011962890625
1862.75597529699	0.0779999998030689	-0.9600830078125	-0.00101287841796875
1862.75747529699	0.0794999997992818	-0.9600830078125	-0.00100982666015625
1862.75897529699	0.0809999997954947	-0.9600830078125	-0.001007080078125
1862.76047529698	0.0824999997917075	-0.9600830078125	-0.00101165771484375
1862.76197529698	0.0839999997879204	-0.9600830078125	-0.00100616455078125
1862.76347529697	0.0854999997841333	-0.9600830078125	-0.0010125732421875
1862.76497529697	0.0869999997803461	-0.9600830078125	-0.00101287841796875
1862.76647529697	0.088499999776559	-0.9600830078125	-0.00101165771484375
1862.76797529696	0.0899999997727718	-0.9600830078125	-0.00101318359375
1862.76947529696	0.0914999997689847	-0.9600830078125	-0.00101104736328125
1862.77097529696	0.0929999997651976	-0.9600830078125	-0.0010076904296875
1862.77247529695	0.0944999997614104	-0.9600830078125	-0.00100921630859375
1862.77397529695	0.0959999997576233	-0.9600830078125	-0.00100860595703125
1862.77547529694	0.0974999997538362	-0.9600830078125	-0.00100341796875
1862.77697529694	0.098999999750049	-0.9600830078125	-0.0010107421875
1862.77847529694	0.100499999746262	-0.9600830078125	-0.0010076904296875
1862.77997529693	0.101999999742475	-0.9600830078125	-0.00100982666015625
1862.78147529693	0.103499999738688	-0.96038818359375	-0.001009521484375
1862.78297529693	0.1049999997349	-0.96038818359375	-0.00101318359375
1862.78447529692	0.106499999731113	-0.96038818359375	-0.0010113525390625
1862.78597529692	0.107999999727326	-0.96038818359375	-0.00101165771484375
1862.78747529691	0.109499999723539	-0.9600830078125	-0.001009521484375
1862.78897529691	0.110999999719752	-0.96038818359375	-0.0010113525390625
1862.79047529691	0.112499999715965	-0.96038818359375	-0.001011962890625
1862.7919752969	0.113999999712178	-0.96038818359375	-0.00100860595703125
1862.7934752969	0.115499999708391	-0.96038818359375	-0.001005859375
