Time (s)	Corrected time (s)	WE(1).Potential (V)	WE(1).Current (A)
2078.16638775313	0	-0.00122985839843751	-1.983642578125E-05
2078.16788775313	0.00149999999621286	-0.001190185546875	-2.10571289062503E-05
2078.16938775313	0.00299999999242573	-0.0012969970703125	-2.07519531250006E-05
2078.17088775312	0.00449999998863859	-0.001190185546875	-2.16674804687497E-05
2078.17238775312	0.00599999998485146	-0.0012786865234375	-1.89208984374994E-05
2078.17388775312	0.00749999998106432	-0.00138244628906251	-2.10571289062503E-05
2078.17538775311	0.00899999997727718	-0.00140991210937499	-1.92260742187506E-05
2078.17688775311	0.01049999997349	-0.0014190673828125	-1.8310546875E-05
2078.1783877531	0.0119999999697029	-0.0015533447265625	-1.8310546875E-05
2078.1798877531	0.0134999999659158	-0.001513671875	-2.01416015624997E-05
2078.1813877531	0.0149999999621286	-0.00148925781250001	-2.01416015624997E-05
2078.18288775309	0.0164999999583415	-0.00151672363281249	-2.01416015624997E-05
2078.18438775309	0.0179999999545544	-0.0018890380859375	-2.25830078125003E-05
2078.18588775308	0.0194999999507672	-0.00171813964843751	-1.70898437499997E-05
2078.18738775308	0.0209999999469801	-0.00165710449218751	-2.22778320312506E-05
2078.18888775308	0.022499999943193	-0.0011474609375	-1.86157226562497E-05
2078.19038775307	0.0239999999394058	-0.00104370117187499	-1.8310546875E-05
2078.19188775307	0.0254999999356187	-0.001116943359375	-1.73950195312494E-05
2078.19338775307	0.0269999999318316	-0.00108642578125	-2.04467773437494E-05
2078.19488775306	0.0284999999280444	-0.0010833740234375	-1.64794921875003E-05
2078.19638775306	0.0299999999242573	-0.00116577148437499	-2.07519531250006E-05
2078.19788775305	0.0314999999204701	-0.00110473632812499	-2.04467773437494E-05
2078.19938775305	0.032999999916683	-0.0011627197265625	-1.92260742187506E-05
2078.20088775305	0.0344999999128959	-0.00115966796875	-1.61743164062506E-05
2078.20238775304	0.0359999999091087	-0.00113525390624999	-2.01416015624997E-05
2078.20388775304	0.0374999999053216	-0.0011138916015625	-2.04467773437494E-05
2078.20538775304	0.0389999999015345	-0.0013092041015625	-2.19726562499994E-05
2078.20688775303	0.0404999998977473	-0.00137939453124999	-2.04467773437494E-05
2078.20838775303	0.0419999998939602	-0.00136718750000001	-2.13623046875E-05
2078.20988775302	0.0434999998901731	-0.0013580322265625	-1.70898437499997E-05
2078.21138775302	0.0449999998863859	-0.00138244628906251	-2.13623046875E-05
2078.21288775302	0.0464999998825988	-0.001361083984375	-2.10571289062503E-05
2078.21438775301	0.0479999998788116	-0.00145568847656249	-1.92260742187506E-05
2078.21588775301	0.0494999998750245	-0.00136718750000001	-2.01416015624997E-05
2078.21738775301	0.0509999998712374	-0.00125732421874999	-2.13623046875E-05
2078.218887753	0.0524999998674502	-0.001171875	-1.77001953125006E-05
2078.220387753	0.0539999998636631	-0.0011932373046875	-1.92260742187506E-05
2078.22188775299	0.055499999859876	-0.0010955810546875	-1.55639648437497E-05
2078.22338775299	0.0569999998560888	-0.001666259765625	-2.13623046875E-05
2078.22488775299	0.0584999998523017	-0.00166931152343749	-2.10571289062503E-05
2078.22638775298	0.0599999998485146	-0.00156555175781251	-1.95312500000003E-05
2078.22788775298	0.0614999998447274	-0.00136413574218749	-1.89208984374994E-05
2078.22938775298	0.0629999998409403	-0.0013885498046875	-1.86157226562497E-05
2078.23088775297	0.0644999998371532	-0.00135192871093751	-1.86157226562497E-05
2078.23238775297	0.065999999833366	-0.001361083984375	-2.13623046875E-05
2078.23388775296	0.0674999998295789	-0.0013427734375	-2.01416015624997E-05
2078.23538775296	0.0689999998257917	-0.00130310058593749	-2.04467773437494E-05
2078.23688775296	0.0704999998220046	-0.001544189453125	-2.07519531250006E-05
2078.23838775295	0.0719999998182175	-0.001617431640625	-1.92260742187506E-05
2078.23988775295	0.0734999998144303	-0.00165710449218751	-1.92260742187506E-05
2078.24138775294	0.0749999998106432	-0.00161132812500001	-2.13623046875E-05
2078.24288775294	0.0764999998068561	-0.0016143798828125	-2.07519531250006E-05
2078.24438775294	0.0779999998030689	-0.0016632080078125	-2.04467773437494E-05
2078.24588775293	0.0794999997992818	-0.00159912109375	-1.58691406249994E-05
2078.24738775293	0.0809999997954947	-0.0015228271484375	-2.25830078125003E-05
2078.24888775293	0.0824999997917075	-0.001446533203125	-2.01416015624997E-05
2078.25038775292	0.0839999997879204	-0.00138244628906251	-2.04467773437494E-05
2078.25188775292	0.0854999997841333	-0.00133056640625	-1.983642578125E-05
2078.25338775291	0.0869999997803461	-0.00132141113281251	-2.07519531250006E-05
2078.25488775291	0.088499999776559	-0.00133056640625	-1.8310546875E-05
2078.25638775291	0.0899999997727718	-0.001300048828125	-2.288818359375E-05
2078.2578877529	0.0914999997689847	-0.00135498046875	-2.07519531250006E-05
2078.2593877529	0.0929999997651976	-0.00133361816406249	-2.19726562499994E-05
2078.2608877529	0.0944999997614104	-0.00139465332031249	-2.19726562499994E-05
2078.26238775289	0.0959999997576233	-0.001446533203125	-2.16674804687497E-05
2078.26388775289	0.0974999997538362	-0.00157775878906249	-1.95312500000003E-05
2078.26538775288	0.098999999750049	-0.00155029296875001	-1.92260742187506E-05
2078.26688775288	0.100499999746262	-0.0015716552734375	-1.983642578125E-05
2078.26838775288	0.101999999742475	-0.00125732421874999	-2.288818359375E-05
2078.26988775287	0.103499999738688	-0.00127258300781249	-1.70898437499997E-05
2078.27138775287	0.1049999997349	-0.00135192871093751	-2.13623046875E-05
2078.27288775287	0.106499999731113	-0.0013397216796875	-2.13623046875E-05
